1,164.40847683
2,110.456529856
4,76.957431078
8,60.3873038292
16,51.0752379894
32,47.1632671356
64,47.1691880226
128,52.2844700813
256,67.008425951
1,165.071884155
2,109.294449091
4,79.0858638287
8,60.5690729618
16,50.752338171
32,47.5772938728
64,47.3658549786
128,52.2022809982
256,66.4251909256
1,166.051994085
2,110.406237125
4,77.8205139637
8,60.1852428913
16,51.0432360172
32,47.5034618378
64,47.1809000969
128,52.6737678051
256,67.1215181351
1,165.536401033
2,109.478775024
4,77.9230499268
8,60.1674458981
16,50.5107049942
32,47.5337209702
64,47.1752259731
128,52.6073288918
